Time(s) RTT(ms)
0.0 0.00184693
1.00006 1.86606 ms
1.00085 1.75781 ms
1.00097 1.66308 ms
1.00099 1.5802 ms
1.00116 1.63267 ms
1.00182 1.55359 ms
1.00262 1.60939 ms
1.00274 1.65821 ms
1.00277 1.70094 ms
1.00295 1.61332 ms
1.00359 1.66165 ms
1.00439 1.70395 ms
1.00453 1.74095 ms
1.00456 1.77333 ms
1.00475 1.80167 ms
1.00537 1.82646 ms
1.00617 1.84815 ms
1.00632 1.86713 ms
1.00634 1.88374 ms
1.00654 1.89827 ms
1.00716 1.91099 ms
1.00795 1.79711 ms
1.00809 1.82247 ms
1.00813 1.84466 ms
1.00833 1.86408 ms
1.00894 1.75607 ms
1.00974 1.78656 ms
1.00988 1.68824 ms
1.00993 1.60221 ms
1.01014 1.65193 ms
1.0107 1.69544 ms
1.01152 1.73351 ms
1.01169 1.76682 ms
1.01172 1.79597 ms
1.01194 1.69647 ms
1.01247 1.73441 ms
1.0133 1.76761 ms
1.01344 1.79666 ms
1.01349 1.82208 ms
1.01372 1.84432 ms
1.01421 1.86378 ms
1.01506 1.8808 ms
1.01523 1.8957 ms
1.01528 1.90874 ms
1.0155 1.92015 ms
1.01598 1.80513 ms
1.01687 1.70449 ms
1.01701 1.74143 ms
1.01707 1.77375 ms
1.01727 1.80203 ms
1.01773 1.82677 ms
1.01863 1.84843 ms
1.01876 1.74237 ms
1.01884 1.64958 ms
1.01902 1.69338 ms
1.01945 1.73171 ms
1.02036 1.76524 ms
1.02048 1.79459 ms
1.02056 1.82026 ms
1.0207 1.71773 ms
1.02114 1.75301 ms
1.02209 1.78388 ms
1.02219 1.8109 ms
1.02224 1.83454 ms
1.02238 1.85522 ms
1.02284 1.74832 ms
1.02378 1.65478 ms
1.02388 1.57293 ms
1.02392 1.50131 ms
1.02409 1.56365 ms
1.02453 1.61819 ms
1.02546 1.66592 ms
1.02559 1.70768 ms
1.02563 1.74422 ms
1.02578 1.65119 ms
1.02625 1.69479 ms
1.02716 1.73294 ms
1.02728 1.76632 ms
1.02731 1.79553 ms
1.02748 1.82109 ms
1.02796 1.71845 ms
1.02886 1.62865 ms
1.02897 1.55007 ms
1.02901 1.60631 ms
1.02917 1.65552 ms
1.02966 1.69858 ms
1.03055 1.73625 ms
1.03066 1.76922 ms
1.0307 1.67307 ms
1.03088 1.58894 ms
1.03139 1.64032 ms
1.03225 1.68528 ms
1.03238 1.72462 ms
1.03241 1.75904 ms
1.03257 1.78916 ms
1.0331 1.81551 ms
1.03397 1.71357 ms
1.03409 1.74938 ms
1.03411 1.7807 ms
1.03428 1.80812 ms
1.03481 1.7071 ms
1.03565 1.74371 ms
1.03579 1.65075 ms
1.03582 1.5694 ms
1.03598 1.49823 ms
1.03651 1.56095 ms
1.03735 1.61583 ms
1.0375 1.66385 ms
1.03752 1.70587 ms
1.03769 1.74263 ms
1.03822 1.7748 ms
1.03906 1.80295 ms
1.0392 1.82758 ms
1.03923 1.84914 ms
1.0394 1.86799 ms
1.03992 1.75949 ms
1.04077 1.66456 ms
