#Time(s) qlen(pkts) qlen(us)
4.00 16 192
4.01 16 192
4.02 18 216
4.03 16 192
4.04 18 216
4.05 19 228
4.06 16 192
4.07 17 204
4.08 17 204
4.09 16 192
4.10 15 180
4.11 16 192
4.12 16 192
4.13 18 216
4.14 17 204
4.15 17 204
4.16 19 228
4.17 18 216
4.18 17 204
4.19 15 180
4.20 15 180
4.21 15 180
4.22 15 180
4.23 15 180
4.24 15 180
4.25 17 204
4.26 16 192
4.27 18 216
4.28 16 192
4.29 15 180
4.30 18 216
4.31 17 204
4.32 15 180
4.33 15 180
4.34 19 228
4.35 16 192
4.36 16 192
4.37 16 192
4.38 15 180
4.39 17 204
4.40 18 216
4.41 15 180
4.42 17 204
4.43 16 192
4.44 15 180
4.45 16 192
4.46 16 192
4.47 15 180
4.48 19 228
4.49 18 216
4.50 15 180
4.51 15 180
4.52 16 192
4.53 18 216
4.54 16 192
4.55 15 180
4.56 15 180
4.57 16 192
4.58 18 216
4.59 15 180
4.60 17 204
4.61 17 204
4.62 15 180
4.63 16 192
4.64 15 180
4.65 15 180
4.66 16 192
4.67 17 204
4.68 17 204
4.69 17 204
4.70 16 192
4.71 16 192
4.72 17 204
4.73 15 180
4.74 15 180
4.75 15 180
4.76 18 216
4.77 15 180
4.78 17 204
4.79 18 216
4.80 17 204
4.81 18 216
4.82 18 216
4.83 16 192
4.84 16 192
4.85 16 192
4.86 15 180
4.87 16 192
4.88 16 192
4.89 16 192
4.90 17 204
4.91 17 204
4.92 17 204
4.93 17 204
4.94 16 192
4.95 17 204
4.96 15 180
4.97 16 192
4.98 16 192
4.99 15 180
5.00 15 180
